system_id,word,ner
2,十年,DATE
3,先帝爺,PERSON
3,兩,CARDINAL
3,兩,CARDINAL
3,三,CARDINAL
3,三,CARDINAL
3,四,CARDINAL
3,五,CARDINAL
3,十,CARDINAL
4,幾歲,DATE
4,昨晚,TIME
4,半夜,TIME
4,半天,DATE
4,昨晚,TIME
4,兩,CARDINAL
4,今天,DATE
4,今天,DATE
4,云云,PERSON
5,半夜,TIME
6,田中寧寧,PERSON
6,過節那天,DATE
6,三,CARDINAL
6,三,CARDINAL
6,兩,CARDINAL
6,兩,CARDINAL
6,前半年,DATE
8,交通局長,ORG
8,大坑,LOC
8,兩,CARDINAL
8,兩,CARDINAL
8,中央,ORG
8,交通局,ORG
10,半夜,TIME
10,修光光,PERSON
11,二,CARDINAL
11,莓櫻桃,PERSON
11,兩,CARDINAL
11,千元,MONEY
11,周末,DATE
11,兩,CARDINAL
11,五千元,MONEY
11,百元,MONEY
11,九十元,MONEY
11,兩,CARDINAL
11,求,PERSON
11,週末,DATE
11,兩,CARDINAL
11,週六日,DATE
11,第二,ORDINAL
11,兩,CARDINAL
11,晚上,TIME
12,張附卡,PERSON
12,兩,CARDINAL
13,數十萬,CARDINAL
13,百萬,CARDINAL
13,幾十萬,CARDINAL
13,數萬元,MONEY
13,兩,CARDINAL
13,今年,DATE
14,台北市,GPE
14,中正區,LOC
14,台北,GPE
14,北車,ORG
14,新光三越,FAC
14,五十,CARDINAL
14,千,CARDINAL
15,兩,CARDINAL
16,去年,DATE
16,去年,DATE
16,台灣人,NORP
16,阿拉伯人,NORP
16,月初,DATE
16,中東,LOC
16,阿拉伯人,NORP
16,大寶,PERSON
16,中東人,NORP
16,中東人,NORP
16,月初,DATE
16,美軍,ORG
16,萬,CARDINAL
17,兩,CARDINAL
17,兩,CARDINAL
17,二,CARDINAL
17,餘裕,PERSON
17,四萬,CARDINAL
17,百萬,MONEY
17,兩,CARDINAL
18,單方,CARDINAL
18,幾天,DATE
19,媽祖,GPE
19,年初,DATE
19,行天宮,FAC
19,媽祖,GPE
20,民進黨,ORG
21,兩,CARDINAL
21,兩,CARDINAL
21,二,CARDINAL
21,兩,CARDINAL
21,兩,CARDINAL
21,二,ORDINAL
21,昨天,DATE
22,李大仁,PERSON
22,第二,ORDINAL
23,明早,TIME
23,今天,DATE
26,超過年,DATE
26,今天,DATE
26,兩,CARDINAL
26,兩,CARDINAL
26,兩,CARDINAL
26,遠流,WORK_OF_ART
26,七,CARDINAL
26,星巴克,ORG
26,遠流,WORK_OF_ART
26,康是美,ORG
27,兩,CARDINAL
27,女閨蜜,PERSON
27,明明切,PERSON
28,倆,CARDINAL
28,兩,CARDINAL
28,夜間,TIME
28,隔天早上,TIME
28,兩,CARDINAL
29,三國,DATE
29,阿愛安,PERSON
29,十歲,DATE
29,十多歲,DATE
29,五歲,DATE
29,台灣,GPE
29,台灣,GPE
29,嫩,PERSON
30,第三,ORDINAL
30,第三,ORDINAL
30,第三,ORDINAL
31,抄文,PERSON
31,米莉,PERSON
31,米莉,PERSON
31,二十代後半,DATE
31,米莉,PERSON
31,米莉,PERSON
31,米莉,PERSON
31,幾個月,DATE
31,米莉,PERSON
31,幾年,DATE
31,米莉,PERSON
31,兩,CARDINAL
31,米莉,PERSON
31,米莉,PERSON
31,米莉,PERSON
31,五天,DATE
31,米莉,PERSON
31,米莉,PERSON
31,米莉,PERSON
31,米莉,PERSON
31,幾年,DATE
31,米莉,PERSON
32,三,CARDINAL
32,第年,DATE
32,第二年,DATE
32,兩,CARDINAL
32,第三年,DATE
32,老三,ORDINAL
32,兩,CARDINAL
32,第四年,DATE
32,老二,ORDINAL
32,第五年,DATE
32,三歲半,DATE
32,這幾年,DATE
32,前半年,DATE
32,三,CARDINAL
32,第三,ORDINAL
33,幾個禮拜,DATE
35,第三,ORDINAL
36,早上,TIME
36,晚上,TIME
36,第三年,DATE
36,四歲,DATE
36,前天,DATE
36,上禮拜,DATE
36,第二天,DATE
36,抄文,PERSON
37,個禮拜後,DATE
37,兩個禮拜,DATE
37,半年後,DATE
37,五,CARDINAL
37,六日,DATE
37,六日,DATE
38,雙方,CARDINAL
38,早上,TIME
38,晚上,TIME
38,雙方,CARDINAL
39,第二,ORDINAL
39,四歲,DATE
39,四歲,DATE
39,梨花,PERSON
40,兩,CARDINAL
40,兩,CARDINAL
40,兩歲,DATE
40,隔年三歲,DATE
40,萬聖節,DATE
40,",萬",CARDINAL
40,三歲,DATE
40,金庸,PERSON
40,兩個月,DATE
40,分鐘,TIME
40,分鐘,TIME
40,今晚,TIME
40,兒童福利基金會,ORG
40,兩,CARDINAL
40,十幾年後,DATE
40,十年,DATE
40,十多年後,DATE
40,那幾年,DATE
41,兩,CARDINAL
41,兩,CARDINAL
41,兩,CARDINAL
42,抄文,PERSON
42,這幾個月,DATE
42,去年八月底,DATE
42,大稻埕,LOC
42,個禮拜,DATE
42,那天,DATE
42,今天,DATE
42,今天,DATE
42,整天,DATE
42,第二天,DATE
42,晚上,TIME
42,當天,DATE
42,整個禮拜,DATE
42,兩,CARDINAL
42,這整個禮拜,DATE
